N=2, 
142, 141, 141, 141, 141, 141, 141, 143, 142, 145, 
141, 141, 175, 141, 141, 141, 141, 170, 141, 258, 
144, 145, 144, 144, 144, 144, 144, 144, 143, 142, 
141, 141, 141, 156, 141, 141, 141, 144, 141, 175, 
142, 141, 144, 144, 145, 144, 143, 144, 144, 142, 
141, 141, 141, 141, 141, 141, 142, 141, 141, 142, 
141, 141, 141, 141, 143, 144, 141, 141, 141, 176, 
142, 142, 148, 201, 141, 141, 141, 141, 142, 145, 
146, 144, 144, 144, 144, 144, 141, 141, 141, 142, 
141, 141, 141, 144, 144, 144, 144, 144, 144, 145, 
N=256, 
12235, 12218, 12201, 12213, 12249, 12185, 12276, 12187, 12218, 12237, 
12371, 12223, 12202, 12253, 12425, 12420, 12174, 12550, 12855, 12228, 
12326, 12177, 12572, 12492, 12274, 12297, 12323, 12498, 12433, 12359, 
12384, 12399, 12642, 12374, 12374, 12179, 12196, 12474, 12188, 12501, 
12382, 12327, 12241, 12269, 12191, 12197, 12169, 12232, 12377, 12458, 
12235, 12325, 12239, 12204, 12302, 12206, 12245, 12224, 12182, 12612, 
12219, 12198, 12225, 12219, 12294, 12182, 12193, 12170, 12164, 12201, 
12252, 12292, 12235, 12165, 12308, 12524, 12258, 12246, 12353, 12240, 
12332, 12500, 12247, 12408, 12294, 12164, 12369, 12524, 12337, 12513, 
12228, 12180, 12211, 12357, 12210, 12306, 12283, 12386, 12221, 13024, 
N=512, 
21411, 21730, 21445, 21422, 21379, 21853, 21950, 21365, 21662, 21777, 
21611, 21382, 21600, 21452, 21823, 21531, 21396, 22278, 21867, 21739, 
21459, 21640, 21572, 21675, 21966, 21611, 21915, 21397, 21732, 21465, 
21438, 21495, 21758, 21883, 21519, 21653, 21365, 21398, 21618, 21425, 
21435, 21972, 21391, 21419, 21743, 21613, 21684, 21402, 21615, 21564, 
21847, 21633, 21449, 21505, 21670, 21551, 21630, 21415, 21581, 21574, 
21657, 21404, 21661, 21472, 21437, 21473, 21460, 21493, 21625, 21441, 
21632, 21837, 21598, 21341, 21389, 21839, 21458, 21951, 21871, 21727, 
22347, 21527, 21817, 21326, 21367, 21426, 21504, 21820, 21540, 21392, 
21551, 21372, 21461, 21657, 21640, 21365, 21549, 22385, 21619, 21541, 
N=1024, 
37662, 37112, 37849, 37040, 37373, 37840, 37273, 37780, 38634, 37461, 
37200, 37303, 37046, 37364, 37623, 37362, 37098, 37466, 37127, 37089, 
37374, 37076, 37761, 38041, 37731, 37465, 37368, 37308, 37317, 37142, 
38071, 37205, 37229, 37096, 37373, 37258, 37434, 38000, 37415, 37600, 
37016, 37413, 37177, 37540, 37425, 37124, 37263, 37527, 37386, 37480, 
37219, 37372, 37300, 37182, 37178, 37141, 37510, 37042, 37229, 37457, 
37624, 37185, 37605, 37155, 37179, 37312, 37401, 37118, 37647, 37503, 
37438, 37389, 37560, 37233, 37105, 37341, 37032, 37215, 37743, 37747, 
37097, 37214, 37505, 37358, 38946, 37332, 37352, 37138, 37254, 37110, 
37343, 37045, 37415, 37076, 37504, 37399, 37664, 37207, 37229, 37427, 
N=2048, 
69528, 69064, 69727, 69514, 69307, 69249, 69265, 69991, 69353, 69179, 
69326, 69467, 69412, 70059, 69459, 69921, 69903, 69337, 69574, 69953, 
69289, 70147, 69547, 69645, 69488, 69222, 69789, 69552, 69355, 69132, 
69836, 69160, 69113, 69798, 69527, 69596, 69424, 69383, 69083, 69506, 
69476, 69284, 69492, 69823, 70194, 69101, 69686, 69515, 69807, 69708, 
69387, 69948, 69192, 69668, 70575, 68934, 69206, 69489, 69627, 72369, 
69079, 69239, 69339, 69018, 69826, 69151, 69297, 69532, 69588, 69266, 
69937, 70259, 70085, 69088, 69323, 69962, 69551, 69800, 69721, 69489, 
70409, 69526, 69379, 69524, 69706, 69284, 69444, 72705, 71138, 70895, 
70248, 69667, 70723, 70211, 71897, 70690, 70554, 69626, 69555, 69799, 
