N=128, 
698, 699, 670, 674, 673, 673, 672, 673, 671, 748, 
671, 702, 758, 673, 672, 671, 685, 685, 685, 673, 
672, 704, 739, 673, 697, 673, 671, 671, 672, 673, 
671, 673, 672, 673, 672, 659, 662, 657, 690, 659, 
657, 656, 659, 657, 675, 687, 706, 660, 658, 643, 
741, 661, 692, 673, 692, 657, 657, 656, 658, 802, 
658, 657, 658, 691, 659, 659, 656, 657, 658, 659, 
658, 645, 658, 658, 710, 708, 657, 690, 658, 689, 
658, 659, 675, 658, 657, 659, 658, 687, 660, 657, 
658, 668, 659, 658, 660, 735, 685, 657, 660, 691, 
N=256, 
1548, 1490, 1493, 1494, 1463, 1465, 1459, 1483, 1456, 1497, 
1493, 1456, 1521, 1497, 1457, 1461, 1462, 1462, 1554, 1464, 
1463, 1497, 1465, 1462, 1463, 1466, 1459, 1531, 1495, 1458, 
1621, 1513, 1529, 1491, 1462, 1461, 1563, 1465, 1555, 1496, 
1486, 1495, 1467, 1550, 1492, 1456, 1491, 1481, 1518, 1523, 
1548, 1485, 1566, 1525, 1488, 1594, 1566, 1522, 1488, 1490, 
1556, 1524, 1534, 1492, 1520, 1496, 1492, 1492, 1494, 1491, 
1523, 1489, 1487, 1528, 1603, 1495, 1487, 1487, 1460, 1512, 
1459, 1494, 1507, 1504, 1493, 1427, 1434, 1433, 1521, 1492, 
1516, 1498, 1521, 1503, 1475, 1458, 1500, 1458, 1507, 1490, 
N=512, 
3380, 3351, 3346, 3331, 3313, 3362, 3333, 3304, 3369, 3302, 
3245, 3291, 3319, 3245, 3286, 3272, 3274, 3276, 3247, 3264, 
3266, 3346, 3425, 3355, 3458, 3295, 3484, 3564, 3347, 3354, 
3266, 3269, 3293, 3305, 3266, 3354, 3272, 3449, 3222, 3279, 
3309, 3281, 3610, 3281, 3460, 3307, 3406, 3292, 3298, 3279, 
3610, 3321, 3279, 3285, 3449, 3367, 3305, 3254, 3315, 3289, 
3290, 3722, 3364, 3343, 3341, 3332, 3418, 3352, 3291, 3309, 
3329, 3263, 3440, 3407, 3268, 3446, 3295, 3268, 3271, 3211, 
3277, 3244, 3275, 3199, 3282, 3313, 3273, 3300, 3290, 3449, 
3237, 3269, 3363, 3535, 3369, 3425, 3410, 3343, 3360, 3342, 
N=1024, 
7444, 7289, 7208, 7428, 7459, 7398, 7218, 7232, 7275, 7312, 
8110, 7719, 7412, 7335, 7306, 7267, 7416, 7289, 7283, 7229, 
7306, 7181, 7356, 7304, 7257, 7516, 7450, 7495, 7636, 7256, 
7223, 7273, 7358, 7370, 7237, 7423, 7502, 7417, 7258, 7323, 
7245, 7389, 7485, 7383, 7270, 7332, 7242, 7319, 7422, 7400, 
7370, 7376, 7199, 7249, 7394, 7258, 7749, 7810, 7271, 7188, 
7319, 7114, 7263, 7374, 7398, 7404, 8344, 7287, 7179, 7234, 
7283, 7318, 7223, 7760, 7774, 7435, 7248, 7263, 7211, 7366, 
7450, 7532, 7137, 7247, 7479, 7467, 7466, 7539, 7416, 7254, 
7341, 7268, 7456, 7291, 7647, 7257, 7310, 7265, 7226, 7235, 
N=2048, 
16060, 16582, 16014, 16359, 16352, 16596, 16170, 17057, 16050, 16038, 
16062, 16479, 16155, 16149, 16924, 16081, 16680, 16083, 16610, 16064, 
15973, 16135, 16351, 16084, 16178, 16436, 16533, 16120, 16390, 16806, 
15958, 16016, 16131, 16354, 16115, 16470, 16415, 16376, 16158, 16600, 
16042, 16118, 16033, 15942, 16368, 15950, 16438, 16443, 16974, 16256, 
16323, 16484, 16116, 16146, 16451, 16133, 15944, 16363, 16052, 16209, 
16084, 16067, 16173, 16232, 16235, 16379, 16091, 16007, 16182, 16458, 
16102, 16355, 16107, 16157, 16290, 16247, 16402, 16124, 16402, 16305, 
16636, 16140, 16454, 16094, 15996, 16056, 17091, 16058, 16207, 16503, 
16283, 16347, 16304, 16513, 16418, 15993, 16121, 16291, 15983, 16197, 
