N=128, 
98238, 102443, 98249, 95923, 97508, 95812, 95574, 97831, 97855, 95861, 
96521, 96898, 97298, 95819, 95262, 97771, 97522, 97899, 96347, 95588, 
95348, 96273, 96326, 95404, 95673, 94974, 95604, 95668, 95917, 95113, 
96165, 95662, 95366, 95291, 94595, 93544, 93696, 93436, 93870, 94248, 
94336, 94390, 94748, 95925, 97499, 96075, 94935, 93592, 95155, 95361, 
94368, 93718, 94360, 94241, 94570, 93512, 96657, 93704, 96162, 93365, 
94614, 94604, 95858, 93975, 94077, 94510, 93823, 93774, 95177, 93569, 
93935, 94830, 94731, 94238, 95288, 93403, 93745, 93736, 93710, 93306, 
93713, 95466, 94193, 94553, 93793, 94785, 96382, 95157, 93641, 93380, 
94153, 94104, 93275, 96531, 94079, 97552, 93423, 95459, 93598, 93679, 
N=256, 
183094, 183685, 185595, 186480, 184073, 185173, 183879, 183038, 183218, 187057, 
182912, 189698, 182863, 186605, 184294, 183025, 182565, 191797, 183826, 185598, 
183997, 182537, 183693, 184367, 182610, 181984, 183181, 182819, 185641, 184225, 
183712, 190028, 184204, 183657, 184005, 186618, 180921, 191826, 180394, 181675, 
179543, 179799, 180714, 183999, 182670, 183269, 183726, 184993, 188964, 186467, 
186267, 198030, 185386, 189614, 191502, 189205, 186849, 186262, 188690, 188874, 
187769, 189672, 188131, 191119, 186714, 186554, 186693, 186865, 187726, 185515, 
187374, 187127, 187849, 187551, 186275, 190473, 186439, 184968, 182081, 184254, 
182440, 181724, 183146, 182158, 180196, 178162, 179972, 187484, 181704, 190187, 
184681, 181955, 183176, 183029, 182443, 185504, 183211, 184575, 182635, 187134, 
N=512, 
373118, 368443, 368248, 371350, 368140, 377425, 367885, 369671, 372761, 365415, 
361757, 360216, 365170, 360772, 362032, 361278, 360958, 360702, 359951, 360138, 
372446, 376271, 369677, 369008, 368962, 368827, 377145, 367657, 371709, 366216, 
361642, 363082, 365373, 360075, 361288, 361308, 379686, 356886, 362643, 362454, 
365576, 365846, 360839, 363609, 361392, 361459, 361808, 361324, 362982, 369871, 
360882, 363055, 360901, 378195, 361374, 364845, 362700, 361697, 362855, 363173, 
377796, 376791, 367130, 369202, 366362, 369523, 366911, 373314, 368362, 368318, 
358830, 376809, 359935, 363317, 379423, 359894, 364168, 369179, 353723, 361556, 
359120, 362502, 354274, 367478, 364449, 361042, 360208, 361371, 378519, 364988, 
360019, 368605, 371688, 366592, 369536, 374145, 367817, 370757, 370619, 377834, 
N=1024, 
720131, 718354, 729588, 734764, 728963, 723188, 720977, 718237, 717061, 736663, 
735974, 727633, 715085, 719017, 719819, 720406, 717581, 719354, 717829, 736868, 
713388, 718829, 716221, 720195, 728411, 729445, 731417, 750377, 722249, 718389, 
729732, 718001, 719324, 725026, 738388, 732788, 742937, 713328, 717715, 716434, 
729510, 731594, 741642, 723675, 716949, 717836, 716949, 729645, 737982, 738483, 
715650, 719521, 716467, 719016, 714546, 717339, 719201, 722428, 714113, 716274, 
702862, 715440, 730505, 731814, 738907, 719878, 713823, 705468, 717317, 716358, 
719568, 723178, 730578, 729837, 734890, 715380, 719500, 714376, 735936, 730766, 
733050, 706460, 717796, 724257, 721543, 734667, 732676, 731909, 715105, 723436, 
723104, 720685, 715561, 722929, 716032, 723516, 715159, 717424, 732700, 745903, 
N=2048, 
1459918, 1422235, 1448478, 1427438, 1455556, 1439113, 1459916, 1428039, 1430760, 1423934, 
1454835, 1431433, 1420527, 1463169, 1417029, 1467714, 1431799, 1458466, 1435006, 1423056, 
1427159, 1453392, 1452749, 1432265, 1466475, 1456856, 1432614, 1461507, 1428773, 1430048, 
1433405, 1428290, 1459228, 1425342, 1455788, 1435454, 1464639, 1425987, 1454325, 1436397, 
1428434, 1426910, 1428948, 1445801, 1431515, 1457533, 1432087, 1461361, 1429481, 1460207, 
1435792, 1424263, 1424739, 1464400, 1458798, 1429297, 1464629, 1431808, 1450879, 1422913, 
1426395, 1428481, 1421571, 1428844, 1459203, 1433889, 1433803, 1425650, 1473784, 1444941, 
1444103, 1428488, 1430979, 1439442, 1428959, 1461295, 1425477, 1457697, 1427999, 1460625, 
1423063, 1451655, 1421669, 1431380, 1425506, 1424079, 1436233, 1433494, 1466499, 1432136, 
1455283, 1433433, 1459450, 1426036, 1429488, 1429607, 1464692, 1427629, 1427448, 1425688, 
