N=128, 
757, 684, 658, 657, 657, 720, 657, 656, 659, 655, 
687, 672, 655, 660, 657, 681, 658, 689, 683, 657, 
671, 657, 672, 655, 659, 671, 669, 659, 691, 659, 
718, 722, 657, 657, 655, 657, 728, 657, 656, 657, 
687, 692, 656, 771, 657, 656, 655, 738, 658, 689, 
694, 692, 657, 671, 655, 689, 658, 726, 658, 747, 
657, 655, 740, 697, 656, 656, 655, 656, 658, 657, 
671, 656, 657, 691, 655, 656, 655, 694, 656, 657, 
683, 707, 656, 689, 658, 656, 656, 656, 689, 656, 
669, 655, 684, 741, 669, 810, 683, 670, 670, 687, 
N=256, 
1597, 1512, 1515, 1512, 1517, 1519, 1514, 1515, 1513, 1517, 
1516, 1513, 1516, 1516, 1540, 1573, 1611, 1550, 1566, 1516, 
1948, 1514, 1517, 1714, 1576, 1576, 1515, 1519, 1517, 1513, 
1516, 1516, 1490, 1486, 1458, 1569, 1455, 1457, 1495, 1456, 
1457, 1454, 1456, 1456, 1558, 1453, 1456, 1454, 1485, 1543, 
1456, 1514, 1490, 1457, 1458, 1457, 1457, 1491, 1455, 1455, 
1455, 1454, 1520, 1456, 1459, 1458, 1457, 1459, 1569, 1457, 
1522, 1497, 1490, 1456, 1485, 1455, 1471, 1482, 1453, 1453, 
1455, 1457, 1472, 1541, 1455, 1536, 1455, 1524, 1456, 1452, 
1455, 1453, 1485, 1848, 1457, 1522, 1455, 1457, 1456, 1469, 
N=512, 
