2500, 1252600, 292610, 101, 69, 
2500, 1251707, 236469, 105, 73, 
2500, 1241983, 233024, 103, 71, 
2500, 1235591, 227224, 105, 69, 
2500, 1249935, 365813, 108, 69, 
2500, 1252100, 260037, 107, 68, 
2500, 1258775, 228434, 102, 69, 
2500, 1234983, 337214, 108, 69, 
2500, 1256492, 317348, 102, 69, 
2500, 1269132, 323843, 105, 68, 
2500, 1259334, 282310, 102, 69, 
2500, 1211085, 242238, 110, 68, 
2500, 1235473, 274914, 105, 69, 
2500, 1243398, 293224, 104, 68, 
2500, 1234946, 358337, 104, 70, 
2500, 1232815, 1061775, 105, 71, 
2500, 1246235, 302349, 104, 66, 
2500, 1237481, 303505, 104, 69, 
2500, 1251054, 262388, 107, 69, 
2500, 1259369, 261213, 107, 67, 
2500, 1252185, 405030, 104, 71, 
2500, 1237361, 294409, 105, 68, 
2500, 1254143, 285165, 104, 68, 
2500, 1249598, 856679, 103, 68, 
2500, 1247929, 334328, 109, 69, 
2500, 1255101, 274888, 104, 68, 
2500, 1255274, 279380, 106, 67, 
2500, 1239944, 320475, 107, 68, 
2500, 1262720, 255954, 104, 69, 
2500, 1239854, 430215, 102, 69, 
2500, 1243609, 252988, 103, 70, 
2500, 1243659, 267565, 106, 68, 
2500, 1249949, 223880, 106, 68, 
2500, 1229426, 298670, 104, 68, 
2500, 1225087, 298619, 105, 69, 
2500, 1262897, 228699, 102, 68, 
2500, 1227484, 261172, 108, 69, 
2500, 1226524, 286721, 104, 69, 
2500, 1241981, 309312, 103, 69, 
2500, 1240486, 302607, 105, 69, 
2500, 1253137, 230253, 104, 70, 
2500, 1224571, 233141, 104, 68, 
2500, 1242183, 243079, 103, 69, 
2500, 1239560, 264462, 103, 69, 
2500, 1257849, 283605, 106, 70, 
2500, 1259706, 277241, 104, 70, 
2500, 1214692, 357827, 107, 68, 
2500, 1257941, 240581, 105, 69, 
2500, 1231664, 318298, 105, 68, 
2500, 1251039, 251665, 107, 77, 
2500, 1255769, 268132, 102, 70, 
2500, 1253993, 237856, 100, 68, 
2500, 1243983, 352931, 105, 70, 
2500, 1263554, 269839, 106, 68, 
2500, 1248950, 278887, 105, 69, 
2500, 1235882, 238232, 109, 68, 
2500, 1243911, 265606, 102, 70, 
2500, 1217280, 227531, 107, 66, 
2500, 1244287, 370445, 101, 71, 
2500, 1239980, 291607, 102, 69, 
2500, 1250290, 222894, 105, 69, 
2500, 1223009, 249436, 106, 67, 
2500, 1258931, 217304, 104, 69, 
2500, 1240426, 225908, 101, 69, 
2500, 1252355, 221030, 103, 69, 
2500, 1259672, 260783, 103, 69, 
2500, 1249277, 251957, 105, 70, 
2500, 1260657, 247460, 103, 71, 
2500, 1242983, 267783, 103, 67, 
2500, 1240107, 221813, 103, 70, 
2500, 1242383, 252398, 106, 68, 
2500, 1268264, 239834, 105, 68, 
2500, 1265628, 216148, 104, 70, 
2500, 1246822, 228758, 105, 68, 
2500, 1255124, 215159, 103, 68, 
2500, 1250710, 217209, 107, 68, 
2500, 1242288, 222525, 104, 70, 
2500, 1251394, 219325, 99, 68, 
2500, 1260627, 238032, 107, 69, 
2500, 1248344, 246839, 104, 70, 
2500, 1247293, 216320, 102, 69, 
2500, 1264287, 323106, 104, 69, 
2500, 1251301, 217893, 105, 68, 
2500, 1273233, 215059, 107, 70, 
2500, 1263982, 214470, 109, 68, 
2500, 1252769, 301776, 103, 69, 
2500, 1250071, 217733, 103, 68, 
2500, 1255030, 307349, 103, 68, 
2500, 1206921, 309032, 105, 69, 
2500, 1251337, 230350, 99, 69, 
2500, 1236821, 246019, 102, 68, 
2500, 1245247, 224571, 103, 69, 
2500, 1266667, 262383, 106, 69, 
2500, 1243767, 992541, 107, 69, 
2500, 1251490, 222040, 100, 70, 
2500, 1248315, 219370, 103, 69, 
2500, 1234089, 342555, 105, 70, 
2500, 1230802, 248256, 105, 69, 
2500, 1240785, 242875, 102, 72, 
2500, 1260548, 287494, 101, 69, 
5000, 2499218, 866557, 104, 69, 
5000, 2509791, 822771, 103, 69, 
5000, 2462782, 886667, 104, 68, 
5000, 2455709, 815112, 106, 69, 
5000, 2504885, 769787, 101, 68, 
5000, 2511004, 857012, 101, 70, 
5000, 2481026, 900794, 104, 68, 
5000, 2529091, 735252, 106, 70, 
5000, 2507501, 763762, 102, 69, 
5000, 2489903, 682741, 106, 70, 
5000, 2528728, 765765, 104, 69, 
5000, 2502619, 853692, 104, 69, 
5000, 2499450, 733227, 105, 71, 
5000, 2489597, 686346, 103, 68, 
5000, 2509597, 878464, 104, 69, 
5000, 2515428, 698660, 106, 68, 
5000, 2523156, 1999814, 110, 71, 
5000, 2490852, 717494, 105, 69, 
5000, 2505010, 2519362, 107, 68, 
5000, 2539594, 792246, 109, 68, 
5000, 2514262, 840188, 103, 69, 
5000, 2500454, 781803, 106, 69, 
5000, 2505781, 882614, 107, 69, 
5000, 2513857, 1754245, 179, 69, 
5000, 2484096, 4260766, 104, 69, 
5000, 2503746, 1461056, 105, 68, 
5000, 2463743, 1832220, 106, 71, 
5000, 2492623, 903985, 104, 67, 
5000, 2459962, 1730897, 103, 69, 
5000, 2486452, 1650259, 106, 70, 
5000, 2488492, 1537135, 100, 68, 
5000, 2486990, 1016164, 105, 68, 
5000, 2503449, 1455378, 106, 68, 
5000, 2517714, 1536897, 101, 67, 
5000, 2504629, 1729382, 106, 68, 
5000, 2479553, 3857638, 102, 68, 
5000, 2503451, 1633772, 105, 68, 
5000, 2448508, 2059315, 114, 78, 
5000, 2471985, 2397648, 104, 70, 
5000, 2454820, 837823, 104, 69, 
5000, 2480858, 890620, 720, 398, 
5000, 2504797, 741914, 102, 68, 
5000, 2495215, 1025561, 104, 69, 
5000, 2495909, 866266, 105, 70, 
5000, 2471955, 909467, 106, 70, 
5000, 2510447, 797623, 108, 69, 
5000, 2505098, 1964531, 110, 72, 
5000, 2500606, 783462, 104, 69, 
5000, 2472886, 796830, 105, 72, 
5000, 2507107, 960854, 101, 70, 
5000, 2508653, 884690, 103, 69, 
5000, 2491038, 1012528, 111, 68, 
5000, 2479985, 815289, 105, 70, 
5000, 2495260, 913697, 106, 70, 
5000, 2502841, 1605777, 108, 69, 
5000, 2540532, 1064534, 105, 68, 
5000, 2496132, 2102150, 106, 68, 
5000, 2478009, 1394708, 104, 68, 
5000, 2484977, 907772, 105, 68, 
5000, 2512117, 894437, 105, 70, 
5000, 2492737, 750650, 107, 69, 
5000, 2546419, 932884, 104, 71, 
5000, 2467847, 810597, 105, 70, 
5000, 2492787, 996225, 103, 72, 
5000, 2477673, 1359561, 102, 68, 
5000, 2491544, 978561, 106, 70, 
5000, 2490285, 2134408, 106, 68, 
5000, 2486222, 1257958, 108, 69, 
5000, 2508807, 855247, 103, 68, 
5000, 2495297, 1283260, 104, 69, 
5000, 2485185, 801120, 102, 69, 
5000, 2502753, 803488, 105, 69, 
5000, 2511997, 826810, 104, 69, 
5000, 2487250, 897593, 103, 69, 
5000, 2448372, 1145624, 107, 70, 
5000, 2460799, 897106, 107, 69, 
5000, 2479866, 932943, 106, 68, 
5000, 2500438, 724526, 117, 74, 
5000, 2487334, 812977, 104, 70, 
5000, 2497397, 1405878, 108, 69, 
5000, 2486418, 900767, 103, 70, 
5000, 2488134, 749632, 104, 71, 
5000, 2486558, 692296, 107, 67, 
5000, 2510451, 725527, 106, 69, 
5000, 2472205, 845177, 104, 70, 
5000, 2448448, 929645, 106, 68, 
5000, 2521990, 958657, 99, 67, 
5000, 2532484, 845542, 105, 69, 
5000, 2534397, 840300, 101, 69, 
5000, 2476467, 749291, 153, 111, 
5000, 2477200, 788755, 104, 68, 
5000, 2533756, 730568, 118, 77, 
5000, 2528130, 921264, 106, 69, 
5000, 2491224, 894254, 117, 78, 
5000, 2527797, 766377, 106, 70, 
5000, 2507652, 867906, 102, 69, 
5000, 2530048, 788915, 104, 68, 
5000, 2505950, 916803, 100, 68, 
5000, 2473862, 825689, 109, 68, 
