178, 10881, 2808, 0, 3154, 76, 
190, 11351, 2918, 0, 3203, 82, 
177, 10686, 2870, 0, 3041, 77, 
177, 10875, 2870, 0, 3104, 77, 
177, 10698, 2803, 0, 3093, 77, 
178, 11021, 2951, 0, 3063, 78, 
177, 10879, 2998, 0, 3080, 77, 
177, 10830, 2738, 0, 3017, 76, 
176, 10866, 2747, 0, 3094, 76, 
178, 10729, 2798, 0, 3089, 108, 
177, 10741, 2770, 0, 3052, 76, 
178, 10778, 2834, 0, 3014, 76, 
178, 10653, 2833, 0, 3062, 77, 
178, 10865, 2735, 0, 3042, 77, 
178, 10762, 2841, 0, 3011, 77, 
178, 10880, 2766, 0, 3092, 76, 
177, 10890, 2739, 0, 3081, 77, 
178, 10879, 2737, 0, 3095, 77, 
176, 10826, 2729, 0, 3042, 76, 
178, 10836, 2729, 0, 3072, 76, 
177, 10760, 2770, 0, 3022, 76, 
177, 10911, 2736, 0, 3115, 76, 
177, 10678, 2763, 0, 3047, 76, 
178, 10852, 2749, 0, 3067, 76, 
178, 11091, 2851, 0, 2999, 91, 
178, 10848, 2736, 0, 3099, 76, 
178, 10814, 2741, 0, 3048, 77, 
178, 10812, 2803, 0, 3011, 77, 
178, 10756, 2777, 0, 3069, 76, 
177, 10777, 2789, 0, 3000, 77, 
179, 11036, 2733, 0, 3073, 77, 
177, 10833, 2738, 0, 3053, 78, 
178, 10770, 2859, 0, 2992, 77, 
178, 10876, 2743, 0, 3061, 76, 
178, 10772, 2902, 0, 3014, 76, 
177, 10744, 2767, 0, 3036, 77, 
178, 10866, 2730, 0, 3047, 76, 
178, 10960, 2824, 0, 3012, 76, 
178, 10812, 2783, 0, 3010, 76, 
177, 10774, 2818, 0, 3009, 76, 
178, 10715, 2838, 0, 3006, 77, 
178, 10749, 2813, 0, 3051, 76, 
239, 10995, 2791, 0, 3113, 78, 
177, 10759, 2857, 0, 3080, 78, 
177, 10872, 2733, 0, 3049, 76, 
177, 10846, 2740, 0, 3029, 76, 
178, 10850, 2735, 0, 3065, 76, 
177, 10816, 2728, 0, 3040, 76, 
210, 10764, 2732, 0, 3038, 76, 
177, 10887, 2731, 0, 3066, 77, 
178, 10681, 2807, 0, 3091, 76, 
176, 10648, 2790, 0, 3054, 76, 
176, 10651, 2792, 0, 3045, 76, 
181, 10986, 2860, 0, 3004, 76, 
178, 10846, 2737, 0, 3055, 76, 
177, 10843, 2778, 0, 3131, 76, 
176, 10887, 2722, 0, 3039, 77, 
179, 10822, 2788, 0, 2999, 76, 
180, 10905, 2757, 0, 3113, 77, 
177, 10838, 2755, 0, 3161, 76, 
180, 10870, 2870, 0, 3105, 78, 
177, 10911, 2720, 0, 3046, 76, 
210, 11083, 2846, 0, 3155, 78, 
179, 11018, 2851, 0, 2996, 76, 
177, 10844, 2794, 0, 3066, 76, 
177, 10891, 2730, 0, 3051, 77, 
177, 10821, 2738, 0, 3051, 76, 
176, 10893, 2734, 0, 3029, 76, 
177, 10879, 2809, 0, 3000, 77, 
177, 10759, 2851, 0, 3055, 77, 
177, 10927, 2736, 0, 3081, 76, 
177, 10812, 2771, 0, 3089, 76, 
177, 10651, 2823, 0, 3082, 77, 
176, 11062, 2763, 0, 3053, 78, 
194, 10685, 2731, 0, 3027, 76, 
177, 10911, 2831, 0, 3012, 76, 
176, 10761, 2785, 0, 3128, 76, 
177, 10666, 2809, 0, 3066, 76, 
179, 10973, 2934, 0, 3109, 79, 
176, 10828, 2731, 0, 3033, 76, 
177, 10857, 2729, 0, 3050, 76, 
177, 10717, 2761, 0, 3010, 76, 
177, 10648, 2863, 0, 3066, 77, 
177, 10733, 2807, 0, 3085, 76, 
177, 10749, 2733, 0, 3059, 77, 
177, 10811, 2723, 0, 3135, 76, 
177, 10821, 2730, 0, 3028, 77, 
176, 10685, 2740, 0, 3052, 76, 
177, 10740, 2822, 0, 3053, 77, 
177, 10829, 2732, 0, 3053, 77, 
176, 10714, 2786, 0, 3056, 76, 
177, 10897, 2730, 0, 3075, 76, 
179, 10787, 2857, 0, 2986, 77, 
177, 10872, 2741, 0, 3093, 76, 
176, 10800, 2779, 0, 2994, 77, 
181, 11336, 2899, 0, 3189, 79, 
178, 10840, 2775, 0, 2995, 77, 
178, 10704, 2740, 0, 3057, 100, 
177, 11127, 2839, 0, 2995, 76, 
178, 10773, 2732, 0, 3040, 76, 
