N=128, 
214120, 211093, 206464, 207279, 208669, 206233, 205911, 206881, 207661, 206577, 
205852, 206508, 213606, 205394, 208378, 206860, 207902, 213286, 206334, 206059, 
206408, 206008, 208400, 205718, 206297, 205823, 206396, 210562, 206431, 206084, 
206518, 209719, 206306, 206929, 206937, 207074, 205676, 205756, 205775, 206773, 
206043, 205982, 208814, 206512, 206559, 206981, 207951, 206158, 206266, 205658, 
207225, 205770, 207675, 206971, 206105, 206415, 205905, 209168, 205554, 205743, 
204715, 207067, 207147, 206746, 205803, 205974, 206388, 205973, 208838, 210343, 
205259, 206047, 208798, 207162, 208085, 205455, 205163, 206723, 205827, 210495, 
207961, 206037, 208464, 206018, 205269, 205206, 206164, 205466, 206674, 205515, 
204984, 215066, 211639, 212208, 210390, 236865, 212223, 209622, 212258, 211305, 

N=256, 
454426, 451556, 450279, 449638, 449194, 452943, 453540, 465577, 450447, 457030, 
453130, 449192, 458912, 451084, 450799, 455747, 454506, 451540, 457458, 455195, 
455668, 457923, 455026, 458943, 453306, 453959, 454116, 454214, 456607, 454230, 
452365, 438089, 438773, 436726, 443286, 437594, 440417, 438541, 439224, 446000, 
437963, 437998, 436606, 441859, 438069, 438069, 435917, 442976, 442614, 445550, 
441280, 443454, 443312, 439458, 438455, 437054, 436527, 446465, 445084, 438386, 
435311, 437698, 435030, 435594, 440747, 438948, 433661, 440836, 447786, 438402, 
440168, 438287, 439474, 442451, 446720, 436663, 436592, 437904, 436882, 438925, 
440892, 437119, 440210, 435899, 444565, 436027, 443639, 435243, 440775, 438011, 
441852, 443944, 441879, 440648, 438150, 436032, 441199, 440138, 438638, 443373, 

N=512, 
