input size, Prove timeverification time, 
128, 94292, 8379, 
256, 191162, 14408, 
512, 364276, 19849, 
1024, 711307, 34467, 
2048, 1427991, 65912, 
4096, 2867037, 114224, 
8192, 5717748, 200977, 
16384, 11388460, 391308, 
