99, 7501, 1282, 353, 0, 39, 
87, 7679, 1344, 374, 0, 40, 
87, 7630, 1308, 361, 0, 38, 
83, 7475, 1312, 360, 0, 38, 
84, 7391, 1349, 358, 0, 38, 
84, 7441, 1292, 360, 0, 39, 
84, 7479, 1288, 356, 0, 38, 
84, 7500, 1281, 409, 0, 38, 
83, 7458, 1345, 359, 0, 38, 
83, 7549, 1288, 358, 0, 38, 
84, 7433, 1325, 357, 0, 38, 
84, 7607, 1338, 432, 0, 40, 
83, 7433, 1287, 358, 0, 39, 
84, 7460, 1290, 425, 0, 38, 
83, 7389, 1482, 431, 0, 39, 
84, 7460, 1340, 359, 0, 38, 
84, 7439, 1281, 357, 0, 38, 
84, 7495, 1279, 359, 0, 38, 
85, 7580, 1282, 359, 0, 38, 
84, 7500, 1366, 358, 0, 38, 
84, 7423, 1279, 358, 0, 38, 
84, 7484, 1289, 362, 0, 38, 
83, 7425, 1292, 362, 0, 38, 
84, 7461, 1293, 390, 0, 38, 
84, 7549, 1288, 357, 0, 39, 
84, 7390, 1326, 358, 0, 38, 
83, 7461, 1289, 359, 0, 38, 
84, 7661, 1432, 361, 0, 38, 
84, 7447, 1342, 361, 0, 39, 
84, 7460, 1351, 360, 0, 39, 
84, 7606, 1291, 359, 0, 38, 
86, 7533, 1349, 366, 0, 39, 
84, 7466, 1283, 359, 0, 39, 
84, 7485, 1354, 358, 0, 39, 
83, 7494, 1288, 360, 0, 38, 
84, 7440, 1354, 360, 0, 38, 
84, 7452, 1342, 361, 0, 38, 
84, 7485, 1334, 360, 0, 39, 
84, 7423, 1287, 360, 0, 38, 
85, 7738, 1395, 357, 0, 53, 
84, 7417, 1285, 358, 0, 38, 
84, 7442, 1283, 357, 0, 39, 
84, 7457, 1284, 356, 0, 38, 
84, 7467, 1289, 358, 0, 38, 
84, 7447, 1290, 364, 0, 38, 
83, 7452, 1360, 361, 0, 38, 
87, 7817, 1339, 374, 0, 86, 
84, 7402, 1285, 358, 0, 38, 
84, 7390, 1334, 357, 0, 38, 
84, 7440, 1288, 357, 0, 38, 
84, 7454, 1369, 357, 0, 38, 
84, 7436, 1289, 356, 0, 39, 
83, 7492, 1283, 359, 0, 38, 
118, 7721, 1351, 359, 0, 39, 
84, 7473, 1400, 360, 0, 38, 
84, 7497, 1286, 393, 0, 38, 
84, 7410, 1367, 396, 0, 38, 
87, 7642, 1335, 371, 0, 40, 
84, 7433, 1283, 410, 0, 38, 
83, 7481, 1289, 359, 0, 38, 
83, 7391, 1340, 358, 0, 38, 
85, 7780, 1303, 380, 0, 39, 
85, 7578, 1358, 366, 0, 39, 
84, 7545, 1287, 359, 0, 38, 
85, 7676, 1318, 403, 0, 39, 
83, 7497, 1319, 358, 0, 38, 
84, 7572, 1322, 357, 0, 38, 
83, 7461, 1280, 414, 0, 38, 
84, 7441, 1281, 356, 0, 38, 
85, 7556, 1313, 366, 0, 39, 
84, 7461, 1279, 359, 0, 38, 
84, 7447, 1333, 357, 0, 38, 
83, 7556, 1329, 358, 0, 38, 
87, 7750, 1340, 369, 0, 40, 
84, 7510, 1285, 410, 0, 38, 
84, 7458, 1286, 355, 0, 38, 
84, 7585, 1633, 360, 0, 39, 
98, 7373, 1323, 360, 0, 38, 
84, 7443, 1283, 359, 0, 39, 
83, 7443, 1338, 358, 0, 39, 
84, 7543, 1291, 356, 0, 38, 
83, 7447, 1316, 360, 0, 38, 
84, 7467, 1287, 359, 0, 38, 
85, 7554, 1303, 365, 0, 62, 
85, 7655, 1318, 365, 0, 97, 
84, 7460, 1336, 355, 0, 39, 
83, 7439, 1288, 354, 0, 38, 
83, 7436, 1339, 358, 0, 39, 
83, 7494, 1343, 357, 0, 38, 
84, 7440, 1283, 358, 0, 38, 
84, 7760, 1287, 359, 0, 55, 
83, 7427, 1291, 412, 0, 38, 
83, 7444, 1284, 414, 0, 38, 
83, 7458, 1286, 360, 0, 38, 
85, 7525, 1311, 414, 0, 39, 
83, 7412, 1279, 357, 0, 38, 
84, 7414, 1288, 355, 0, 38, 
84, 7474, 1284, 359, 0, 38, 
87, 7664, 1335, 376, 0, 40, 
87, 7764, 1400, 377, 0, 40, 
